Id,TxnDate,Period,Entity,EntityName,BankAccountName,BankAccountMask,BankName,Description,Payee,Amount,TxnType,CategoryAccountNum,CategoryAccountName,Classification,CurrencyRef_value,ExchangeRate,AmountUSD,MatchStatus,ReferenceNumber,Cleared,ReviewNote,RunningBalance
800019,2024-07-03,2024-07,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-8861.14,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-8861.14,Matched,RNT-202407,True,,2391138.86
800008,2024-07-03,2024-07,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-11548.4,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-11548.4,Matched,RNT-202407,True,,2388451.6
800003,2024-07-03,2024-07,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-17376.57,ACH Payment,6100,Rent - Office,Expense,USD,1.0,-17376.57,Matched,RNT-202407,True,,2382623.43
800014,2024-07-03,2024-07,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-14554.09,ACH Payment,6100,Rent - Office,Expense,EUR,1.09,-15863.96,Matched,RNT-202407,True,,2385445.91
800020,2024-07-08,2024-07,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-6050.64,ACH Payment,6500,Insurance - Liability & Cargo,Expense,USD,1.0,-6050.64,Matched,INS-202407,True,,2385088.22
800009,2024-07-08,2024-07,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-8410.78,ACH Payment,6500,Insurance - Liability & Cargo,Expense,USD,1.0,-8410.78,Matched,INS-202407,True,,2380040.82
800004,2024-07-08,2024-07,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-13106.2,ACH Payment,6500,Insurance - Liability & Cargo,Expense,USD,1.0,-13106.2,Matched,INS-202407,True,,2369517.23
800015,2024-07-08,2024-07,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-10408.03,ACH Payment,6500,Insurance - Liability & Cargo,Expense,EUR,1.09,-11344.76,Matched,INS-202407,True,,2375037.88
800021,2024-07-12,2024-07,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,NETSUITE SOLUTIONS PARTNER - SOFTWARE / IT,NetSuite Solutions Partner,-5001.13,ACH Payment,6200,Software Subscriptions - SaaS,Expense,USD,1.0,-5001.13,Matched,TEC-202407,True,,2380087.09
800010,2024-07-12,2024-07,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,RAMP FINANCIAL SOFTWARE - SOFTWARE / IT,Ramp Financial Software,-6688.02,ACH Payment,6200,Software Subscriptions - SaaS,Expense,USD,1.0,-6688.02,Matched,TEC-202407,True,,2373352.8
