Id,AccountNumber,Name,FullyQualifiedName,SubAccount,Active,Classification,AccountType,AccountSubType,NormalBalance,CurrentBalanceUSD,Bal_MHG,Bal_MLG,Bal_CFS,Bal_NWC,Bal_APX,CurrencyRef_value,CurrencyRef_name,domain,sparse,SyncToken,MetaData_CreateTime
1000,1000,Operating Bank - Main,Operating Bank - Main,False,True,Asset,Bank,Checking,Debit,-5859294.13,-3961061.31,-2066212.39,-815577.1,1044482.8,-60926.13,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1001,1010,Operating Bank - Payroll,Operating Bank - Payroll,False,True,Asset,Bank,Checking,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1002,1020,Money Market Savings,Money Market Savings,False,True,Asset,Bank,Savings,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1003,1100,Accounts Receivable,Accounts Receivable,False,True,Asset,Accounts Receivable,AccountsReceivable,Debit,5078623.99,0,2096573.12,1061844.89,1046053.85,874152.13,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1004,1150,Allowance for Doubtful Accounts,Allowance for Doubtful Accounts,False,True,Asset,Other Current Asset,AllowanceForBadDebts,Debit,-114257.04,0,-55867.28,-8930.02,-30438.97,-19020.77,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1005,1200,Unbilled Revenue / WIP,Unbilled Revenue / WIP,False,True,Asset,Other Current Asset,OtherCurrentAssets,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1006,1250,Prepaid Insurance,Prepaid Insurance,False,True,Asset,Other Current Asset,PrepaidExpenses,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1007,1260,Prepaid Software Licenses,Prepaid Software Licenses,False,True,Asset,Other Current Asset,PrepaidExpenses,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1008,1270,Prepaid Rent,Prepaid Rent,False,True,Asset,Other Current Asset,PrepaidExpenses,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1009,1300,Fuel Inventory,Fuel Inventory,False,True,Asset,Other Current Asset,Inventory,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1010,1400,Due From Affiliates,Due From Affiliates,False,True,Asset,Other Current Asset,OtherCurrentAssets,Debit,1285108.04,1285108.04,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1011,1500,Tractors & Trailers,Tractors & Trailers,False,True,Asset,Fixed Asset,Vehicles,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1012,1510,Warehouse Equipment,Warehouse Equipment,False,True,Asset,Fixed Asset,MachineryAndEquipment,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1013,1540,Capitalized Software,Capitalized Software,False,True,Asset,Fixed Asset,OtherFixedAssets,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1014,1590,Accumulated Depreciation,Accumulated Depreciation,False,True,Asset,Fixed Asset,AccumulatedDepreciation,Debit,-3696187.21,0,-537402.67,-1682658.31,-415795.24,-1060330.99,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1015,1700,Goodwill,Goodwill,False,True,Asset,Other Asset,Goodwill,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1016,1710,Customer Relationships - Intangible,Customer Relationships - Intangible,False,True,Asset,Other Asset,Intangibles,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1017,1800,Investment in Subsidiaries,Investment in Subsidiaries,False,True,Asset,Other Asset,OtherLongTermAssets,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1018,2000,Accounts Payable,Accounts Payable,False,True,Liability,Accounts Payable,AccountsPayable,Credit,486254.04,0,1100234.88,-242997.27,-244893.38,-126090.19,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1019,2050,Accrued Expenses,Accrued Expenses,False,True,Liability,Other Current Liability,OtherCurrentLiabilities,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1020,2070,Accrued Fuel & Purchased Transport,Accrued Fuel & Purchased Transport,False,True,Liability,Other Current Liability,OtherCurrentLiabilities,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1021,2080,Payroll Tax Payable,Payroll Tax Payable,False,True,Liability,Other Current Liability,PayrollTaxPayable,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
