JournalEntryId,DocNumber,TxnDate,Period,Entity,EntityName,AccountNum,AccountName,AccountType,Classification,Description,Debit,Credit,Amount,CurrencyRef_value,ExchangeRate,AmountUSD,VendorRef_name,CustomerRef_name,TxnSource,Adjustment,domain,sparse,SyncToken
7001,JE-7001,2024-07-31,2024-07,MLG,Meridian Logistics LLC,5000,COGS - Purchased Transportation,Cost of Goods Sold,Cost of Goods Sold,COGS - Purchased Transportation - 2024-07,273491.59,0,273491.59,USD,1.0,273491.59,Sentinel Freight Partners,,Bill,,QBO,False,0
7001,JE-7001,2024-07-31,2024-07,MLG,Meridian Logistics LLC,5010,COGS - Owner Operator Settlements,Cost of Goods Sold,Cost of Goods Sold,COGS - Owner Operator Settlements - 2024-07,70825.06,0,70825.06,USD,1.0,70825.06,Keystone Owner Operators LLC,,Bill,,QBO,False,0
7001,JE-7001,2024-07-31,2024-07,MLG,Meridian Logistics LLC,5020,COGS - Fuel,Cost of Goods Sold,Cost of Goods Sold,COGS - Fuel - 2024-07,41930.19,0,41930.19,USD,1.0,41930.19,Fuel Express Supplier's,,Bill,,QBO,False,0
7001,JE-7001,2024-07-31,2024-07,MLG,Meridian Logistics LLC,5070,COGS - Maintenance & Repairs,Cost of Goods Sold,Cost of Goods Sold,COGS - Maintenance & Repairs - 2024-07,29946.57,0,29946.57,USD,1.0,29946.57,MidState Truck Repair,,Bill,,QBO,False,0
7001,JE-7001,2024-07-31,2024-07,MLG,Meridian Logistics LLC,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-07,0,416193.41,-416193.41,USD,1.0,-416193.41,,,Bill,,QBO,False,0
7002,JE-7002,2024-07-31,2024-07,CFS,Cascade Freight Systems Inc,5000,COGS - Purchased Transportation,Cost of Goods Sold,Cost of Goods Sold,COGS - Purchased Transportation - 2024-07,68959.19,0,68959.19,USD,1.0,68959.19,Sentinel Freight Partners,,Bill,,QBO,False,0
7002,JE-7002,2024-07-31,2024-07,CFS,Cascade Freight Systems Inc,5020,COGS - Fuel,Cost of Goods Sold,Cost of Goods Sold,COGS - Fuel - 2024-07,61669.14,0,61669.14,USD,1.0,61669.14,Fuel Express Suppliers,,Bill,,QBO,False,0
7002,JE-7002,2024-07-31,2024-07,CFS,Cascade Freight Systems Inc,5030,COGS - Driver Wages,Cost of Goods Sold,Cost of Goods Sold,COGS - Driver Wages - 2024-07,70575.0,0,70575.0,USD,1.0,70575.0,,,Bill,,QBO,False,0
7002,JE-7002,2024-07-31,2024-07,CFS,Cascade Freight Systems Inc,5070,COGS - Maintenance & Repairs,Cost of Goods Sold,Cost of Goods Sold,COGS - Maintenance & Repairs - 2024-07,27258.14,0,27258.14,USD,1.0,27258.14,MidState Truck Repair,,Bill,,QBO,False,0
7002,JE-7002,2024-07-31,2024-07,CFS,Cascade Freight Systems Inc,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-07,0,228461.47,-228461.47,USD,1.0,-228461.47,,,Bill,,QBO,False,0
7003,JE-7003,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,5000,COGS - Purchased Transportation,Cost of Goods Sold,Cost of Goods Sold,COGS - Purchased Transportation - 2024-07,71821.47,0,71821.47,EUR,1.09,78285.4,Ridgeway Carrier Network,,Bill,,QBO,False,0
7003,JE-7003,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,5110,COGS - Customs Duties & Brokerage,Cost of Goods Sold,Cost of Goods Sold,COGS - Customs Duties & Brokerage - 2024-07,36684.03,0,36684.03,EUR,1.09,39985.6,Meridian Customs Brokers,,Bill,,QBO,False,0
7003,JE-7003,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,5010,COGS - Owner Operator Settlements,Cost of Goods Sold,Cost of Goods Sold,COGS - Owner Operator Settlements - 2024-07,20248.09,0,20248.09,EUR,1.09,22070.41,Keystone Owner Operators LLC,,Bill,,QBO,False,0
7003,JE-7003,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,5050,COGS - Temp & Contract Labor,Cost of Goods Sold,Cost of Goods Sold,COGS - Temp & Contract Labor - 2024-07,14779.4,0,14779.4,EUR,1.09,16109.54,Apex Staffing Solutions,,Bill,,QBO,False,0
7003,JE-7003,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-07,0,143532.99,-143532.99,EUR,1.09,-156450.95,,,Bill,,QBO,False,0
7004,JE-7004,2024-07-31,2024-07,APX,Apex Warehousing LLC,5040,COGS - Warehouse Labor,Cost of Goods Sold,Cost of Goods Sold,COGS - Warehouse Labor - 2024-07,56201.7,0,56201.7,USD,1.0,56201.7,Warehouse Temps Direct,,Bill,,QBO,False,0
7004,JE-7004,2024-07-31,2024-07,APX,Apex Warehousing LLC,5050,COGS - Temp & Contract Labor,Cost of Goods Sold,Cost of Goods Sold,COGS - Temp & Contract Labor - 2024-07,23421.53,0,23421.53,USD,1.0,23421.53,Apex Staffing Solution,,Bill,,QBO,False,0
7004,JE-7004,2024-07-31,2024-07,APX,Apex Warehousing LLC,5060,COGS - Equipment Lease & Rental,Cost of Goods Sold,Cost of Goods Sold,COGS - Equipment Lease & Rental - 2024-07,16932.95,0,16932.95,USD,1.0,16932.95,Penske Equipment Leasing,,Bill,,QBO,False,0
7004,JE-7004,2024-07-31,2024-07,APX,Apex Warehousing LLC,5090,COGS - Cargo Claims & Damages,Cost of Goods Sold,Cost of Goods Sold,COGS - Cargo Claims & Damages - 2024-07,7383.78,0,7383.78,USD,1.0,7383.78,Cargo Claims Adjusters Inc,,Bill,,QBO,False,0
7004,JE-7004,2024-07-31,2024-07,APX,Apex Warehousing LLC,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-07,0,103939.96,-103939.96,USD,1.0,-103939.96,,,Bill,,QBO,False,0
7005,JE-7005,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,7030,Unrealized FX Gain / (Loss),Other Income,Revenue,Unrealized FX revaluation EUR/USD 2024-07,36531.48,0,36531.48,EUR,1.09,39819.31,,,Journal Entry,,QBO,False,0
7005,JE-7005,2024-07-31,2024-07,NWC,Northwind Cargo B.V.,1100,Accounts Receivable,Accounts Receivable,Asset,AR revaluation 2024-07,0,36531.48,-36531.48,EUR,1.09,-39819.31,,,Journal Entry,,QBO,False,0
7006,JE-7006,2024-08-31,2024-08,MLG,Meridian Logistics LLC,5000,COGS - Purchased Transportation,Cost of Goods Sold,Cost of Goods Sold,COGS - Purchased Transportation - 2024-08,249498.37,0,249498.37,USD,1.0,249498.37,Ridgeway Carrier Network,,Bill,,QBO,False,0
7006,JE-7006,2024-08-31,2024-08,MLG,Meridian Logistics LLC,5010,COGS - Owner Operator Settlements,Cost of Goods Sold,Cost of Goods Sold,COGS - Owner Operator Settlements - 2024-08,64245.84,0,64245.84,USD,1.0,64245.84,Keystone Owner Operators LLC,,Bill,,QBO,False,0
7006,JE-7006,2024-08-31,2024-08,MLG,Meridian Logistics LLC,5020,COGS - Fuel,Cost of Goods Sold,Cost of Goods Sold,COGS - Fuel - 2024-08,40874.01,0,40874.01,USD,1.0,40874.01,Fuel Express Suppliers,,Bill,,QBO,False,0
7006,JE-7006,2024-08-31,2024-08,MLG,Meridian Logistics LLC,5070,COGS - Maintenance & Repairs,Cost of Goods Sold,Cost of Goods Sold,COGS - Maintenance & Repairs - 2024-08,28348.64,0,28348.64,USD,1.0,28348.64,MidState Truck Repair,,Bill,,QBO,False,0
7006,JE-7006,2024-08-31,2024-08,MLG,Meridian Logistics LLC,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-08,0,382966.86,-382966.86,USD,1.0,-382966.86,,,Bill,,QBO,False,0
7007,JE-7007,2024-08-31,2024-08,CFS,Cascade Freight Systems Inc,5000,COGS - Purchased Transportation,Cost of Goods Sold,Cost of Goods Sold,COGS - Purchased Transportation - 2024-08,71050.15,0,71050.15,USD,1.0,71050.15,Ridgeway Carrier Network,,Bill,,QBO,False,0
7007,JE-7007,2024-08-31,2024-08,CFS,Cascade Freight Systems Inc,5020,COGS - Fuel,Cost of Goods Sold,Cost of Goods Sold,COGS - Fuel - 2024-08,65204.65,0,65204.65,USD,1.0,65204.65,FUEL EXPRESS SUPPLIERS INC,,Bill,,QBO,False,0
7007,JE-7007,2024-08-31,2024-08,CFS,Cascade Freight Systems Inc,5030,COGS - Driver Wages,Cost of Goods Sold,Cost of Goods Sold,COGS - Driver Wages - 2024-08,77539.49,0,77539.49,USD,1.0,77539.49,,,Bill,,QBO,False,0
7007,JE-7007,2024-08-31,2024-08,CFS,Cascade Freight Systems Inc,5070,COGS - Maintenance & Repairs,Cost of Goods Sold,Cost of Goods Sold,COGS - Maintenance & Repairs - 2024-08,28605.2,0,28605.2,USD,1.0,28605.2,MidState Truck Repair,,Bill,,QBO,False,0
7007,JE-7007,2024-08-31,2024-08,CFS,Cascade Freight Systems Inc,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-08,0,242399.49,-242399.49,USD,1.0,-242399.49,,,Bill,,QBO,False,0
7008,JE-7008,2024-08-31,2024-08,NWC,Northwind Cargo B.V.,5000,COGS - Purchased Transportation,Cost of Goods Sold,Cost of Goods Sold,COGS - Purchased Transportation - 2024-08,76462.46,0,76462.46,EUR,1.09,83344.09,Sentinel Freight Partners,,Bill,,QBO,False,0
7008,JE-7008,2024-08-31,2024-08,NWC,Northwind Cargo B.V.,5110,COGS - Customs Duties & Brokerage,Cost of Goods Sold,Cost of Goods Sold,COGS - Customs Duties & Brokerage - 2024-08,41724.94,0,41724.94,EUR,1.09,45480.19,Meridian Customs Brokers,,Bill,,QBO,False,0
7008,JE-7008,2024-08-31,2024-08,NWC,Northwind Cargo B.V.,5010,COGS - Owner Operator Settlements,Cost of Goods Sold,Cost of Goods Sold,COGS - Owner Operator Settlements - 2024-08,21489.18,0,21489.18,EUR,1.09,23423.21,Keystone Owner Operators LLC,,Bill,,QBO,False,0
7008,JE-7008,2024-08-31,2024-08,NWC,Northwind Cargo B.V.,5050,COGS - Temp & Contract Labor,Cost of Goods Sold,Cost of Goods Sold,COGS - Temp & Contract Labor - 2024-08,15784.26,0,15784.26,EUR,1.09,17204.85,Apex Staffing Solution,,Bill,,QBO,False,0
7008,JE-7008,2024-08-31,2024-08,NWC,Northwind Cargo B.V.,2000,Accounts Payable,Accounts Payable,Liability,Accrue direct costs 2024-08,0,155460.85,-155460.85,EUR,1.09,-169452.33,,,Bill,,QBO,False,0
7009,JE-7009,2024-08-31,2024-08,APX,Apex Warehousing LLC,5040,COGS - Warehouse Labor,Cost of Goods Sold,Cost of Goods Sold,COGS - Warehouse Labor - 2024-08,59342.22,0,59342.22,USD,1.0,59342.22,Warehouse Temps Direct,,Bill,,QBO,False,0
7009,JE-7009,2024-08-31,2024-08,APX,Apex Warehousing LLC,5050,COGS - Temp & Contract Labor,Cost of Goods Sold,Cost of Goods Sold,COGS - Temp & Contract Labor - 2024-08,24083.26,0,24083.26,USD,1.0,24083.26,Apex Staffing Solutions,,Bill,,QBO,False,0
