date,MLG,CFS,NWC,APX
2024-07-01,48.1724,32.61,61.6071,27.8355
2024-07-02,48.5968,32.3753,61.6266,27.9907
2024-07-03,48.854,32.6781,61.7794,28.1507
2024-07-04,48.5874,32.106,61.0667,28.0164
2024-07-05,48.4653,31.955,61.2355,27.9539
2024-07-08,48.9295,32.3223,61.4954,28.2393
2024-07-09,48.9109,32.4141,61.2923,28.1633
2024-07-10,48.938,32.2705,61.7972,28.2686
2024-07-11,48.3606,31.9703,61.1029,27.9496
2024-07-12,48.9479,32.641,62.3586,28.393
2024-07-15,49.2669,32.8937,62.2164,28.3894
2024-07-16,49.1387,32.8432,62.4724,28.407
2024-07-17,49.6395,33.6234,62.4538,28.739
2024-07-18,50.1644,34.2188,62.7856,28.8867
2024-07-19,49.645,33.509,62.3103,28.5181
2024-07-22,50.0893,33.9487,63.6342,28.7055
2024-07-23,49.6076,33.4974,63.2839,28.4498
2024-07-24,49.4136,33.3841,62.8955,28.1605
2024-07-25,49.2078,33.1791,62.8882,28.0373
2024-07-26,48.9573,32.5704,62.6595,27.8238
2024-07-29,49.4775,32.4441,62.9284,27.8435
2024-07-30,49.1971,31.9331,62.412,27.5743
2024-07-31,49.3395,32.2801,62.8895,27.7741
2024-08-01,48.4245,31.5403,61.3244,27.3566
2024-08-02,48.0325,31.4484,60.8475,27.1588
2024-08-05,48.0669,31.6048,60.9863,27.2204
2024-08-06,49.0407,32.2975,61.888,27.5302
2024-08-07,49.4395,32.491,62.6851,27.5116
2024-08-08,49.2384,32.193,62.5855,27.4305
2024-08-09,49.4403,32.5108,63.5135,27.6557
2024-08-12,49.4878,32.6792,62.7623,27.5513
2024-08-13,48.7551,31.8521,61.7847,27.0404
2024-08-14,48.1364,31.0874,61.0075,26.5929
2024-08-15,48.4249,30.9618,60.9423,26.5682
2024-08-16,48.0518,30.7861,61.2346,26.4969
2024-08-19,47.6455,30.7192,60.5868,26.5781
2024-08-20,47.8297,30.7982,60.6804,26.7767
2024-08-21,47.5705,30.5898,59.8975,26.5068
2024-08-22,48.0493,30.4574,59.7878,26.5966
2024-08-23,47.9673,30.0252,59.9423,26.0909
2024-08-26,48.3659,30.7166,60.8597,26.427
2024-08-27,48.7845,31.1017,61.695,26.5816
2024-08-28,48.5483,31.101,61.641,26.6085
2024-08-29,48.4673,31.2275,61.8426,26.6947
2024-08-30,48.891,31.7305,62.7314,27.0747
2024-09-02,49.4673,31.4404,63.592,27.0599
2024-09-03,49.3869,31.2031,63.509,26.8518
2024-09-04,50.1734,31.8211,64.2326,27.1051
2024-09-05,50.0215,31.9077,64.1542,27.106
2024-09-06,50.2485,32.2528,65.0397,27.3096
