month,is_actual,MLG_growth,CFS_growth,NWC_growth,APX_growth,group_growth,freight_rate_index,diesel_price,industrial_production
2021-08,0,0.00889611,-0.0265675,0.00198297,-0.014739,-0.00413294,0.003867,-0.00317163,-0.00146892
2021-09,0,0.044244,0.0450769,0.0162542,0.025878,0.0356732,0.0260147,-0.0275498,0.000160936
2021-10,0,0.00338238,0.00474502,0.0133201,0.00507392,0.00613944,-0.00103604,0.0134194,-0.00884451
2021-11,0,-0.0371735,-0.0147453,0.0128752,-0.00874697,-0.0169205,-0.0292223,-0.0217283,0.00170919
2021-12,0,-0.0320943,-0.0541951,-0.0245487,-0.0477854,-0.0377152,-0.0509095,-0.0228492,-0.0114707
2022-01,0,-0.0527092,-0.0367452,-0.0217467,-0.0349057,-0.0396657,-0.02186,-0.0218933,-0.00986765
2022-02,0,0.0498269,0.0711715,0.0438153,0.032413,0.0510197,0.0231612,0.00354895,0.00974996
2022-03,0,0.0597226,0.0798497,0.0210071,0.0207027,0.0503733,0.0396379,0.00665734,0.00294386
2022-04,0,-0.00275692,-0.0406653,0.0118881,0.00104997,-0.00775731,-0.0145823,0.00216594,-0.000391817
2022-05,0,0.0335724,-0.00856638,0.0296282,0.0219678,0.0213258,-0.00557654,-0.0294198,-0.00692213
2022-06,0,0.0610935,0.0634097,0.0261012,0.0580454,0.0534368,0.0284245,0.0235032,0.00770371
2022-07,0,0.0253918,0.0165375,0.0656232,0.0291878,0.0328012,0.0433862,0.0277863,0.00918109
2022-08,0,0.00455487,-0.00443754,-0.0149885,-0.0111512,-0.00404709,-0.00525625,-0.00105582,0.00327272
2022-09,0,-0.073624,-0.0208087,-0.0421573,-0.0423607,-0.0500651,-0.0580969,-0.072333,-0.0110274
2022-10,0,-0.0182074,-0.0467463,0.0104427,-0.0253109,-0.0194416,-0.0101683,0.032307,-0.00247104
2022-11,0,0.000127479,0.0257457,0.0611089,0.0472489,0.0261411,0.00269818,-0.0489296,-0.000904749
2022-12,0,0.0576702,0.0235349,0.00646718,0.00749617,0.0314315,0.0223087,-0.00999847,0.00761192
2023-01,0,0.0463889,0.022767,0.0207965,0.0254031,0.0323225,0.018427,0.0524077,0.0100186
2023-02,0,0.0565503,0.065262,0.0500598,0.0486633,0.0560326,0.025432,-0.0461549,0.00357364
2023-03,0,0.0190126,0.0341262,0.0467546,0.0562872,0.0338458,0.0226615,-0.0194291,-0.00927793
2023-04,0,0.0121105,-0.00372871,0.011049,0.0286606,0.0105024,0.0199465,-0.00680554,-0.0146975
2023-05,0,-0.112166,-0.0931539,-0.0822507,-0.0958749,-0.0988589,-0.0539068,0.0338004,-0.0127786
2023-06,0,-0.0932254,-0.0751048,-0.0746114,-0.0602787,-0.0803232,-0.0476624,-0.00613712,-0.0190194
2023-07,0,0.031859,0.0233856,-0.0162264,-0.00452537,0.0141701,0.00120912,0.0183641,-0.0017333
2023-08,0,0.0185624,0.00799905,-0.00740252,0.0105916,0.00924394,0.0160054,0.0268069,0.001032
2023-09,0,0.00341827,0.0275752,-0.0182285,0.00792399,0.00483213,-0.0018724,-0.0212016,0.00101997
2023-10,0,-0.030196,-0.0609558,-0.0160839,-0.0193889,-0.0326876,-0.00676993,0.00947391,-0.013922
2023-11,0,-0.00828432,-0.0542757,-0.0357429,0.00759359,-0.0228314,-0.0280729,-0.0223593,0.00175171
2023-12,0,-0.0208319,0.00562151,-0.0254823,-0.0085779,-0.0140369,-0.0176515,-0.0389755,-0.005554
2024-01,0,0.0487712,0.014588,0.0460636,0.02359,0.0367581,0.0317195,-0.0257283,-0.00157603
2024-02,0,0.0452516,0.0372859,0.0447631,0.0123316,0.0387301,0.0316677,0.0201161,0.000290527
2024-03,0,0.0289433,0.0249559,0.0168685,0.021037,0.0242414,-0.00345415,-0.0116464,0.0159984
2024-04,0,0.0538904,0.0169338,0.0362458,0.0506945,0.0409687,0.0244128,-0.00229005,0.00507366
2024-05,0,0.122428,0.0763933,0.0775354,0.0704832,0.0945886,0.0528202,0.0282567,0.0162408
2024-06,0,0.0204683,-0.0031578,-0.000457211,0.0317095,0.011909,0.0028655,0.0321255,0.00162029
2024-07,0,-0.0460805,-0.0123373,-0.0217477,0.00920525,-0.02519,-0.0146296,-0.0093655,-0.00763304
2024-08,1,-0.0644656,0.0363287,0.0984208,0.0551708,0.00948588,0.00520021,-0.0514675,-0.00696164
2024-09,1,0.130818,0.0732044,0.0353737,0.0289888,0.0811078,0.0435461,0.0102629,0.00838705
2024-10,1,0.173422,0.086021,0.0260852,0.0432265,0.10305,0.0662335,0.0516393,0.0204788
2024-11,1,-0.0629485,0.0465562,0.0571604,0.120884,0.0102208,0.0005184,-0.022663,-0.00560158
2024-12,1,-0.027381,-0.0645432,0.00892257,-0.0289261,-0.0293108,-0.0447764,-0.00758079,-0.0114585
2025-01,1,-0.0400653,-0.0922924,-0.0345549,-0.024602,-0.0496048,-0.0553348,0.0097306,-0.00285315
2025-02,1,0.07394,0.0823319,0.0124016,0.0207611,0.0548729,0.0246082,0.0375412,0.00205926
2025-03,1,0.0340094,0.0463373,0.103259,0.100769,0.0606551,0.0514094,0.0571514,0.0131104
2025-04,1,0.0498792,0.0778736,0.0485622,0.0311428,0.0536667,0.0311523,0.0579214,0.0166352
2025-05,1,-0.0288957,-0.0521856,-0.0479383,-0.00255964,-0.0352834,-0.036783,0.0263686,0.000840001
2025-06,1,-0.0986606,-0.124931,-0.119411,-0.13102,-0.113942,-0.104269,-0.0621892,-0.0176361
2025-07,1,-0.0145744,-0.0465016,0.0178599,-0.0137583,-0.0148722,-0.0222951,0.0115614,-0.00165337
2025-08,1,0.0159008,0.0431111,0.0785355,0.161217,0.0559055,0.039589,0.0358993,-0.011991
2025-09,1,0.0982733,0.0969546,0.0521905,0.00543156,0.0735278,0.0591029,0.00703965,0.0168974
2025-10,1,0.0598185,0.0879645,0.0696306,0.0618496,0.06879,0.0401111,0.0535173,0.0106115
2025-11,1,0.0687077,0.0405013,0.0367233,0.0917521,0.0580503,0.0378563,-0.00918631,0.00247488
2025-12,1,-0.0176466,-0.0223693,-0.0390304,0.00444458,-0.0203278,-0.0232921,-0.0437472,0.00952086
2026-01,1,0.0182246,-0.10369,-0.0162681,-0.0940815,-0.0337067,-0.0330826,-0.035102,0.00585612
2026-02,1,-0.049529,0.0579357,0.0247116,0.11705,0.0126679,0.00230685,-0.0570582,-0.00341715
2026-03,1,0.186221,0.0657594,0.0747574,0.0327138,0.111185,0.061319,0.0122814,0.00920302
2026-04,1,-0.0604985,0.0111217,0.080494,0.0855078,0.00591536,-0.0150885,-0.00662602,-0.0147115
2026-05,1,-0.0278486,-0.000848927,-0.0278563,-0.0268546,-0.0219099,-0.0221023,-0.0255237,-0.00774787
2026-06,1,-0.0800896,-0.150033,-0.135424,-0.083771,-0.108787,-0.0980933,-0.0197737,-0.0324009
