date,portfolio_return,SPY
2024-07-01,0.004383,-0.002255
2024-07-02,0.006587,0.001164
2024-07-03,0.01079,0.01182
2024-07-04,-0.012865,-0.011734
2024-07-05,0.006442,0.003868
2024-07-08,0.004656,0.006204
2024-07-09,0.002032,-0.001406
2024-07-10,0.001987,-0.008443
2024-07-11,-0.003981,-0.011202
2024-07-12,0.016818,0.023607
2024-07-15,0.000136,0.002988
2024-07-16,0.005142,0.010147
2024-07-17,0.013675,0.008604
2024-07-18,0.00863,0.007598
2024-07-19,-0.016571,-0.013724
2024-07-22,0.002228,0.007534
2024-07-23,-0.015575,-0.006748
2024-07-24,-0.004316,-0.004184
2024-07-25,0.00272,-0.003853
2024-07-26,-0.006802,-0.006314
2024-07-29,0.000625,0.005008
2024-07-30,-0.011014,-0.012046
2024-07-31,0.008073,0.006774
2024-08-01,-0.020621,-0.022664
2024-08-02,-0.011339,-0.009739
2024-08-05,0.00245,-0.007831
2024-08-06,0.015232,0.017595
2024-08-07,0.008281,0.003073
2024-08-08,-0.000527,-0.008796
2024-08-09,0.005374,0.009603
2024-08-12,-0.00152,-0.001958
2024-08-13,-0.025243,-0.02152
2024-08-14,-0.027048,-0.018317
2024-08-15,-0.003982,-0.001155
2024-08-16,-0.006727,-0.004255
2024-08-19,-0.001065,-0.010911
2024-08-20,0.003794,-0.00073
2024-08-21,-0.005698,-0.010034
2024-08-22,-0.009739,0.001764
2024-08-23,-0.013324,-0.011
2024-08-26,0.014619,0.010963
2024-08-27,0.011961,0.015993
2024-08-28,-0.005803,-0.001378
2024-08-29,0.001525,0.002675
2024-08-30,0.011701,0.019091
2024-09-02,0.00381,-0.00298
2024-09-03,4.2e-05,-0.004198
2024-09-04,0.015325,0.013985
2024-09-05,-0.001036,-0.008765
2024-09-06,0.01229,0.005074
2024-09-09,0.00594,0.004611
2024-09-10,0.001373,0.004145
2024-09-11,0.000758,0.005522
2024-09-12,0.012692,0.017355
2024-09-13,-0.009056,-0.005541
2024-09-16,0.006876,0.012795
2024-09-17,-0.001652,-0.00139
2024-09-18,-0.004346,0.00248
2024-09-19,-0.005859,-0.0075
2024-09-20,0.00329,-0.00037
2024-09-23,0.015608,0.019843
2024-09-24,-0.001949,-0.000302
2024-09-25,-0.005701,-0.014201
2024-09-26,-0.002297,-0.011466
2024-09-27,-0.003521,-0.003467
2024-09-30,-0.005685,-0.011197
2024-10-01,0.015683,0.01506
2024-10-02,0.003897,0.006948
2024-10-03,0.000212,-0.007906
2024-10-04,-0.000859,0.003298
2024-10-07,-0.010137,-0.005799
2024-10-08,0.001367,0.01114
2024-10-09,0.007111,0.011567
2024-10-10,-0.001933,0.000556
2024-10-11,-0.003949,-0.011597
2024-10-14,0.001427,0.00821
2024-10-15,-0.002784,-0.008771
2024-10-16,0.000653,-0.000609
2024-10-17,0.008853,0.006014
2024-10-18,0.013358,0.008382
2024-10-21,0.014421,0.017767
2024-10-22,-0.001664,0.003559
2024-10-23,-0.001404,2e-05
2024-10-24,-0.007304,-0.008764
2024-10-25,-0.008417,-0.004825
2024-10-28,-0.001067,0.00091
2024-10-29,0.007447,0.016609
2024-10-30,-0.001778,-0.002418
2024-10-31,0.014766,0.011427
2024-11-01,0.01773,0.015026
2024-11-04,0.013621,0.015023
2024-11-05,0.004505,0.009695
2024-11-06,-0.00817,-4e-05
2024-11-07,-0.005386,-0.011077
2024-11-08,0.008441,0.00775
2024-11-11,0.005511,0.008694
2024-11-12,-0.002962,-0.000334
2024-11-13,0.015869,0.007403
2024-11-14,0.008,0.005068
2024-11-15,0.002054,0.002169
2024-11-18,0.017446,0.022153
2024-11-19,-0.01843,-0.007939
2024-11-20,-0.007319,-0.013824
2024-11-21,-0.018117,-0.003833
2024-11-22,0.003264,-0.001818
2024-11-25,0.01339,0.005161
2024-11-26,-0.01346,-0.019351
2024-11-27,0.007575,0.013092
2024-11-28,0.001233,-0.001522
2024-11-29,0.0118,0.008022
2024-12-02,-0.008344,0.001075
2024-12-03,0.004857,0.001205
2024-12-04,0.01101,0.00203
2024-12-05,-0.01379,-0.013203
2024-12-06,0.003527,0.000151
2024-12-09,0.012098,0.016122
2024-12-10,0.003667,-0.000868
2024-12-11,-0.010005,-0.014802
2024-12-12,-0.002741,-0.002835
2024-12-13,-0.013124,-0.009569
2024-12-16,-0.004653,-0.014394
2024-12-17,0.005256,0.01265
2024-12-18,-0.012583,-0.011253
2024-12-19,-0.012351,-0.003965
2024-12-20,0.016882,0.010014
2024-12-23,-0.013753,-0.021741
2024-12-24,0.00305,0.007626
2024-12-25,0.003382,0.008898
2024-12-26,0.001088,0.000679
2024-12-27,0.000386,-0.006329
2024-12-30,0.010518,0.012116
2024-12-31,-0.000796,-0.006121
2025-01-01,-0.000738,0.00416
2025-01-02,-0.023938,-0.021247
2025-01-03,0.005036,0.003536
2025-01-06,-0.009214,-0.009757
2025-01-07,0.012547,0.015718
2025-01-08,-0.019168,-0.016385
2025-01-09,0.002555,-0.001606
2025-01-10,0.009957,0.005087
2025-01-13,0.002073,-0.005827
2025-01-14,0.015324,0.02107
2025-01-15,0.006297,0.007497
2025-01-16,0.009103,0.008367
2025-01-17,-0.002696,-0.001513
2025-01-20,0.000197,-0.011898
2025-01-21,0.002165,0.011341
2025-01-22,0.009753,0.012636
2025-01-23,-0.001055,-0.000304
2025-01-24,-0.005462,-0.004722
2025-01-27,0.009188,0.013657
2025-01-28,-2e-06,0.00392
2025-01-29,-0.001241,0.002906
2025-01-30,-0.00317,0.003255
2025-01-31,0.008655,0.009853
2025-02-03,-0.014576,-0.012252
2025-02-04,-0.010032,-0.012815
2025-02-05,0.005689,0.009176
2025-02-06,0.008457,0.001121
2025-02-07,0.019747,0.016877
2025-02-10,-0.004983,-0.005935
2025-02-11,-0.003053,-0.007932
2025-02-12,0.000751,-0.0055
2025-02-13,0.002677,0.012321
2025-02-14,0.017353,0.016074
2025-02-17,0.002084,0.005337
2025-02-18,0.00281,0.009458
2025-02-19,0.009227,0.00906
2025-02-20,-0.01178,-0.006934
2025-02-21,-0.00039,-0.008472
2025-02-24,-0.015676,-0.012653
2025-02-25,0.004409,-0.000507
2025-02-26,0.010724,0.014231
2025-02-27,-0.020128,-0.0166
2025-02-28,0.002765,0.002994
2025-03-03,0.004306,-0.000344
2025-03-04,-0.014715,-0.011129
2025-03-05,0.009808,0.018385
2025-03-06,-0.012395,-0.016416
2025-03-07,-0.001383,0.002727
2025-03-10,0.013449,0.011666
2025-03-11,0.004078,0.007778
2025-03-12,-0.017547,-0.015498
2025-03-13,-0.006047,-0.012201
2025-03-14,0.0176,0.017561
2025-03-17,-0.008857,-0.011939
2025-03-18,-0.007147,-0.004771
2025-03-19,0.001932,0.001977
2025-03-20,0.011989,0.005151
2025-03-21,-0.007616,-0.004816
2025-03-24,0.002384,0.002827
2025-03-25,-0.011011,-0.015847
2025-03-26,-0.003812,0.002486
2025-03-27,0.007726,0.009712
2025-03-28,0.005128,0.004693
2025-03-31,-0.007074,-0.000844
2025-04-01,0.002877,0.004795
2025-04-02,-0.007463,-0.008938
2025-04-03,0.0051,0.010052
2025-04-04,-0.017095,-0.017404
2025-04-07,0.009597,-0.000499
2025-04-08,-0.008862,-0.005799
2025-04-09,-0.003314,0.00109
2025-04-10,-0.001006,-0.00016
2025-04-11,-0.006362,-0.007659
2025-04-14,0.021065,0.024388
2025-04-15,-0.003934,-0.001858
2025-04-16,-0.002877,-0.00287
2025-04-17,0.003809,0.004912
2025-04-18,-0.000134,-0.000268
2025-04-21,-0.011855,-0.009019
2025-04-22,0.006549,0.001628
2025-04-23,0.007941,0.00725
2025-04-24,-0.006164,-0.010376
2025-04-25,0.012245,0.008438
2025-04-28,0.008715,0.002443
2025-04-29,0.016146,0.010775
2025-04-30,0.002942,-0.0007
2025-05-01,-0.011414,-0.015536
2025-05-02,0.004098,0.007957
2025-05-05,-0.008672,-0.006324
2025-05-06,0.013779,0.007747
2025-05-07,0.014391,0.00448
2025-05-08,-0.013293,-0.00727
2025-05-09,0.005321,0.004361
2025-05-12,-0.007466,0.007797
2025-05-13,0.003946,-0.001677
2025-05-14,-0.010508,-0.007451
2025-05-15,-0.00728,-0.010154
2025-05-16,-0.003534,-0.002199
2025-05-19,0.007851,0.009995
2025-05-20,0.002167,0.00565
2025-05-21,0.003849,0.011998
2025-05-22,-0.010651,-0.005745
2025-05-23,-0.007884,-0.006773
2025-05-26,-0.015338,-0.002914
2025-05-27,-0.012299,-0.002087
2025-05-28,-0.0035,-0.00681
2025-05-29,0.000814,0.009188
2025-05-30,0.007936,0.008824
2025-06-02,0.003084,0.004604
2025-06-03,0.014864,0.020912
2025-06-04,-0.008552,-0.005919
2025-06-05,0.001352,0.000175
2025-06-06,-0.00188,-0.006203
2025-06-09,-0.001682,0.000983
2025-06-10,-0.033892,-0.035485
2025-06-11,0.002531,0.006239
2025-06-12,-0.000114,0.004082
2025-06-13,0.001254,0.004994
2025-06-16,0.008045,0.006189
2025-06-17,-0.019184,-0.024449
2025-06-18,0.008547,0.00549
2025-06-19,-0.006087,-0.013523
2025-06-20,-0.011247,-0.010906
2025-06-23,0.000865,-0.00385
2025-06-24,-0.004845,-0.001856
2025-06-25,-0.013219,-0.012224
2025-06-26,0.009481,0.005545
2025-06-27,-0.010862,-0.007852
2025-06-30,0.002027,0.005865
2025-07-01,-0.001697,0.013047
2025-07-02,0.003755,0.003897
2025-07-03,0.002057,0.00066
2025-07-04,-0.005201,-0.001634
2025-07-07,0.008787,0.010969
2025-07-08,0.001237,-0.00168
2025-07-09,-0.000913,0.001445
2025-07-10,0.007592,0.009878
2025-07-11,-0.01292,-0.013453
2025-07-14,-0.001711,0.006277
2025-07-15,-0.005131,-0.005742
2025-07-16,0.000287,-0.006685
2025-07-17,0.022974,0.018846
2025-07-18,-0.011347,-0.008858
2025-07-21,-0.009014,-0.007215
2025-07-22,-0.007636,-0.012539
2025-07-23,0.005738,0.013583
2025-07-24,-0.008361,-0.001538
2025-07-25,0.00223,0.001609
2025-07-28,0.012914,0.007983
2025-07-29,0.021519,0.02219
2025-07-30,-0.003774,-0.00459
2025-07-31,0.004285,-0.00173
2025-08-01,-0.001654,-0.007836
2025-08-04,0.013927,0.013359
2025-08-05,0.01427,0.006186
2025-08-06,-0.006385,-0.007788
2025-08-07,-0.006891,-0.011765
2025-08-08,0.009814,0.00756
2025-08-11,-0.016698,-0.0132
2025-08-12,-0.011964,-0.001809
2025-08-13,0.013026,0.016773
2025-08-14,0.007336,0.006956
2025-08-15,-0.013197,-0.015632
2025-08-18,0.002435,0.010294
2025-08-19,0.024682,0.017173
2025-08-20,0.014588,0.013545
2025-08-21,0.013503,0.012079
2025-08-22,0.012419,0.008146
2025-08-25,-0.013032,-0.010035
2025-08-26,0.017732,0.01634
2025-08-27,-0.008331,-0.006121
2025-08-28,0.000389,-0.000488
2025-08-29,0.013373,0.003123
2025-09-01,-0.00223,0.003355
2025-09-02,0.011272,0.01081
2025-09-03,0.000304,0.002129
2025-09-04,-0.011193,-0.013613
2025-09-05,0.003511,-0.007423
2025-09-08,0.007196,0.006912
2025-09-09,-0.003836,-0.011786
2025-09-10,-0.007809,-0.004034
2025-09-11,-0.004355,-0.006438
2025-09-12,0.00198,0.00469
2025-09-15,-0.005971,-0.013299
2025-09-16,0.002179,0.010245
2025-09-17,0.002469,0.005008
2025-09-18,0.006934,0.010644
2025-09-19,0.004471,0.000981
2025-09-22,-0.006323,-0.007251
2025-09-23,-0.001955,0.003377
2025-09-24,-0.030502,-0.03123
2025-09-25,-0.010958,-0.000804
2025-09-26,-0.002041,-0.003924
2025-09-29,-0.001763,0.001034
2025-09-30,-0.015552,-0.018037
2025-10-01,0.001289,-0.000176
2025-10-02,-0.001739,0.000614
2025-10-03,-0.009451,-0.01314
2025-10-06,0.000625,0.001666
2025-10-07,-0.000641,-0.003302
2025-10-08,0.018861,0.021057
2025-10-09,0.00055,-0.00712
2025-10-10,0.005449,0.002745
2025-10-13,0.013225,0.009125
2025-10-14,0.002507,-0.001307
2025-10-15,0.000474,0.00025
2025-10-16,-0.007228,-0.006686
2025-10-17,0.01176,0.012032
2025-10-20,-0.008483,-0.01055
2025-10-21,-0.001194,-0.00237
2025-10-22,-0.002103,-0.001894
2025-10-23,0.003378,0.010627
2025-10-24,0.001768,0.006508
2025-10-27,-0.005989,-0.003754
2025-10-28,-0.008098,-0.010303
2025-10-29,0.010305,-1.5e-05
2025-10-30,0.019523,0.022183
2025-10-31,-0.008784,0.006141
2025-11-03,-0.00559,1.3e-05
2025-11-04,-0.008311,-0.006899
2025-11-05,-0.00279,-0.000458
2025-11-06,0.002057,-0.003475
2025-11-07,0.00258,-0.000625
2025-11-10,-0.015586,-0.020094
2025-11-11,-0.005632,-0.005793
2025-11-12,0.01953,0.024496
2025-11-13,0.004088,0.005808
2025-11-14,-0.003342,-0.002923
2025-11-17,0.00582,0.006015
2025-11-18,0.001277,0.002371
2025-11-19,0.008,-0.000764
2025-11-20,-0.003509,-0.001935
2025-11-21,-0.009555,-0.013858
2025-11-24,0.007198,-0.010861
2025-11-25,0.007784,-0.00257
2025-11-26,-0.006224,-0.010125
2025-11-27,0.014666,0.014886
2025-11-28,0.011042,0.008517
2025-12-01,-0.00303,-0.010169
2025-12-02,0.007045,0.004888
2025-12-03,-0.013225,-0.01222
2025-12-04,-0.004261,0.001597
2025-12-05,-0.001765,0.002435
2025-12-08,-0.010513,-0.01737
2025-12-09,0.00029,-0.00246
2025-12-10,0.004039,-0.001966
2025-12-11,-0.006399,-0.011437
2025-12-12,-0.001814,-0.000808
2025-12-15,-0.015016,-0.01635
2025-12-16,0.017765,0.024475
2025-12-17,-0.000287,-0.002328
2025-12-18,0.020033,0.020645
2025-12-19,0.002792,9e-05
2025-12-22,0.011097,0.014975
2025-12-23,0.014182,0.010696
2025-12-24,0.005935,0.010054
2025-12-25,-0.010887,-0.011438
2025-12-26,0.002831,0.01278
2025-12-29,0.000263,-0.010893
2025-12-30,-0.017159,-0.007256
2025-12-31,-0.013761,-0.018675
2026-01-01,-0.001826,-0.00013
2026-01-02,0.014319,0.006833
2026-01-05,0.02452,0.005047
2026-01-06,-0.027267,-0.011919
2026-01-07,0.025218,0.012432
2026-01-08,-0.007279,0.000413
2026-01-09,-0.016856,-0.013818
2026-01-12,-0.019549,-0.008176
2026-01-13,0.012561,0.011356
2026-01-14,-0.002488,0.003979
2026-01-15,-0.019243,-0.005005
2026-01-16,-0.009715,-0.007313
2026-01-19,-0.014077,-0.019947
2026-01-20,-0.012637,-0.014894
2026-01-21,-0.030459,-0.018333
2026-01-22,-0.017369,0.000292
2026-01-23,-0.001482,-0.00374
2026-01-26,0.015165,0.00291
2026-01-27,0.008476,0.003678
2026-01-28,0.007477,0.012174
2026-01-29,0.046824,0.025379
2026-01-30,0.013528,0.001784
2026-02-02,0.017105,0.011106
2026-02-03,-0.001814,-0.001903
2026-02-04,-0.002136,0.001398
2026-02-05,-0.017116,-0.009122
2026-02-06,0.01632,0.012108
2026-02-09,0.007445,-0.001599
2026-02-10,-0.027788,-0.024036
2026-02-11,0.011629,0.004214
2026-02-12,-0.00094,-0.012226
2026-02-13,-0.002973,-0.002855
2026-02-16,-0.004169,-0.012459
2026-02-17,0.005967,0.001346
2026-02-18,0.004862,-0.002384
2026-02-19,0.001698,-0.003865
2026-02-20,-0.016841,0.000657
2026-02-23,0.008081,0.00673
2026-02-24,-0.017442,-0.003906
2026-02-25,-0.043473,-0.030164
2026-02-26,-0.003903,0.005838
2026-02-27,-0.023769,-0.021584
2026-03-02,0.012894,0.005604
2026-03-03,0.000239,0.010584
2026-03-04,0.026904,0.008026
2026-03-05,0.003556,-0.003806
2026-03-06,0.004937,0.001203
2026-03-09,-0.007893,0.000751
2026-03-10,-0.016506,-0.013605
2026-03-11,0.001588,-0.009279
2026-03-12,-0.001909,-0.000997
2026-03-13,0.005877,0.00085
2026-03-16,0.009916,-0.005008
2026-03-17,0.003496,-0.004723
2026-03-18,0.005262,0.006183
2026-03-19,0.005562,0.002364
2026-03-20,0.009241,0.006677
2026-03-23,-0.000768,-0.002123
2026-03-24,0.029591,0.006204
2026-03-25,-0.004354,-7e-05
2026-03-26,-0.019118,-0.01118
2026-03-27,-0.024481,-0.006939
2026-03-30,-0.003201,0.000659
2026-03-31,-0.00883,-0.003257
2026-04-01,0.008497,0.003122
2026-04-02,-0.010258,-0.005618
2026-04-03,0.023951,0.006745
2026-04-06,0.008481,0.018459
2026-04-07,0.003362,-0.000704
2026-04-08,0.022218,0.019954
2026-04-09,-0.016664,-0.002947
2026-04-10,0.008064,0.002852
2026-04-13,-0.003036,0.001697
2026-04-14,0.003946,0.00416
2026-04-15,0.006159,0.006406
2026-04-16,0.0189,0.00375
2026-04-17,0.018152,0.00376
2026-04-20,0.023124,0.014563
2026-04-21,-0.008747,-0.00512
2026-04-22,-0.00079,0.003693
2026-04-23,0.00077,0.00196
2026-04-24,-0.017806,-0.006325
2026-04-27,-0.026534,-0.012482
2026-04-28,0.007925,0.008998
2026-04-29,0.010548,0.007547
2026-04-30,0.004,0.006501
2026-05-01,0.012035,0.009508
2026-05-04,-0.013819,-0.006272
2026-05-05,0.005536,0.005668
2026-05-06,0.008626,0.007275
2026-05-07,-0.013963,-0.00307
2026-05-08,-0.023708,-0.016402
2026-05-11,-0.003322,0.002354
2026-05-12,0.000928,0.003035
2026-05-13,-0.003389,-0.004006
2026-05-14,0.003642,0.005296
2026-05-15,0.006449,0.011159
2026-05-18,-0.016419,-0.004236
2026-05-19,0.024555,0.02163
2026-05-20,0.000394,-0.010608
2026-05-21,0.011421,0.000408
2026-05-22,-0.012216,-0.010874
2026-05-25,-0.000814,-0.000504
2026-05-26,-0.006276,0.002169
2026-05-27,-0.020747,-0.009942
2026-05-28,0.012812,0.009744
2026-05-29,-0.001828,0.002431
2026-06-01,0.026426,0.005095
2026-06-02,0.014861,0.006523
2026-06-03,0.024845,0.013163
2026-06-04,-0.022527,-0.011853
2026-06-05,-0.002229,-0.003418
2026-06-08,0.008974,0.006071
2026-06-09,0.01686,0.003328
2026-06-10,0.003545,0.00771
2026-06-11,0.004158,0.000914
2026-06-12,-0.024405,-0.010606
2026-06-15,-0.006722,-0.002749
2026-06-16,0.017254,0.011059
2026-06-17,0.011968,0.008626
2026-06-18,0.049439,0.028162
2026-06-19,0.003094,0.008719
2026-06-22,-0.006563,0.000973
2026-06-23,0.012539,0.001605
2026-06-24,-0.020581,-0.006086
2026-06-25,0.002394,-0.002367
2026-06-26,0.005087,0.005984
2026-06-29,-0.000891,-0.0012
2026-06-30,-0.006916,-0.015595
